src_type,category,subcategory,year,em_type,tons_per_day,population,TpDpCap
MOBILE,OTHER MOBILE SOURCES,FARM EQUIPMENT,2000,co,0.01433848,1203.0,1.1918935993349958e-05
MOBILE,OTHER MOBILE SOURCES,FUEL STORAGE AND HANDLING,2000,co,0.0,1203.0,0.0
NATURAL (NON-ANTHROPOGENIC),NATURAL SOURCES,BIOGENIC SOURCES,2000,co,0.0,1203.0,0.0
NATURAL (NON-ANTHROPOGENIC),NATURAL SOURCES,GEOGENIC SOURCES,2000,co,0.0,1203.0,0.0
NATURAL (NON-ANTHROPOGENIC),NATURAL SOURCES,WILDFIRES,2000,co,6.24401291,1203.0,0.005190368171238571
STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,2000,nh3,0.0,1203.0,0.0
STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,2000,nh3,0.0,1203.0,0.0
STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),2000,nh3,0.0,1203.0,0.0
STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,2000,nh3,4.633e-05,1203.0,3.85120532003325e-08
STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,2000,nh3,0.0,1203.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,2000,nh3,0.0,1203.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,2000,nh3,0.0,1203.0,0.0
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,2000,nh3,0.0,1203.0,0.0
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),2000,nh3,0.0,1203.0,0.0
AREAWIDE,SOLVENT EVAPORATION,CONSUMER PRODUCTS,2000,nh3,0.0,1203.0,0.0
AREAWIDE,SOLVENT EVAPORATION,ARCHITECTURAL COATINGS AND RELATED PROCESS SOLVENTS,2000,nh3,0.0,1203.0,0.0
AREAWIDE,SOLVENT EVAPORATION,PESTICIDES/FERTILIZERS,2000,nh3,0.00115069,1203.0,9.565170407315045e-07
AREAWIDE,SOLVENT EVAPORATION,ASPHALT PAVING / ROOFING,2000,nh3,0.0,1203.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,RESIDENTIAL FUEL COMBUSTION,2000,nh3,0.0010004,1203.0,8.315876974231089e-07
AREAWIDE,MISCELLANEOUS PROCESSES,FARMING OPERATIONS,2000,nh3,0.02266691,1203.0,1.8841986699916872e-05
AREAWIDE,MISCELLANEOUS PROCESSES,CONSTRUCTION AND DEMOLITION,2000,nh3,0.0,1203.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,PAVED ROAD DUST,2000,nh3,0.0,1203.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,UNPAVED ROAD DUST,2000,nh3,0.0,1203.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,FUGITIVE WINDBLOWN DUST,2000,nh3,0.0,1203.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,FIRES,2000,nh3,0.0,1203.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,OTHER (MISCELLANEOUS PROCESSES),2000,nh3,0.00232807,1203.0,1.935220282626766e-06
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT DUTY PASSENGER (LDA),2000,nh3,0.00641648,1203.0,5.333732335827098e-06
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT DUTY TRUCKS - 1 (LDT1),2000,nh3,0.00150092,1203.0,1.2476475477971738e-06
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT DUTY TRUCKS - 2 (LDT2),2000,nh3,0.00201125,1203.0,1.6718620116375727e-06
MOBILE,ON-ROAD MOTOR VEHICLES,MEDIUM DUTY TRUCKS (MDV),2000,nh3,0.00109841,1203.0,9.130590191188694e-07
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY GAS TRUCKS - 1 (LHDGT1),2000,nh3,0.00026153,1203.0,2.1739817123857023e-07
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY GAS TRUCKS - 2 (LHDGT2),2000,nh3,2.997e-05,1203.0,2.4912718204488777e-08
MOBILE,ON-ROAD MOTOR VEHICLES,MEDIUM HEAVY DUTY GAS TRUCKS (MHDGT),2000,nh3,3.033e-05,1203.0,2.5211970074812966e-08
MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY HEAVY DUTY GAS TRUCKS (HHDGT),2000,nh3,3.56e-06,1203.0,2.9592684954280964e-09
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY DIESEL TRUCKS - 1 (LHDDT1),2000,nh3,6.89e-05,1203.0,5.727348295926849e-08
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY DIESEL TRUCKS - 2 (LHDDT2),2000,nh3,1.165e-05,1203.0,9.684123025768912e-09
MOBILE,ON-ROAD MOTOR VEHICLES,MEDIUM HEAVY DUTY DIESEL TRUCKS (MHDDT),2000,nh3,2.286e-05,1203.0,1.9002493765586036e-08
MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY HEAVY DUTY DIESEL TRUCKS (HHDDT),2000,nh3,0.00029336,1203.0,2.4385702410640064e-07
MOBILE,ON-ROAD MOTOR VEHICLES,MOTORCYCLES (MCY),2000,nh3,3.87e-06,1203.0,3.2169576059850377e-09
MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY DUTY DIESEL URBAN BUSES (UBD),2000,nh3,8.57e-06,1203.0,7.1238570241064e-09
MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY DUTY GAS URBAN BUSES (UBG),2000,nh3,1.21e-06,1203.0,1.0058187863674148e-09
MOBILE,ON-ROAD MOTOR VEHICLES,SCHOOL BUSES - GAS (SBG),2000,nh3,1.41e-06,1203.0,1.172069825436409e-09
MOBILE,ON-ROAD MOTOR VEHICLES,SCHOOL BUSES - DIESEL (SBD),2000,nh3,3.53e-06,1203.0,2.9343308395677474e-09
MOBILE,ON-ROAD MOTOR VEHICLES,OTHER BUSES - GAS (OBG),2000,nh3,1.508e-05,1203.0,1.2535328345802162e-08
MOBILE,ON-ROAD MOTOR VEHICLES,OTHER BUSES - MOTOR COACH - DIESEL (OBC),2000,nh3,1.14e-06,1203.0,9.47630922693267e-10
MOBILE,ON-ROAD MOTOR VEHICLES,ALL OTHER BUSES - DIESEL (OBD),2000,nh3,2.62e-06,1203.0,2.1778886118038237e-09
MOBILE,ON-ROAD MOTOR VEHICLES,MOTOR HOMES (MH),2000,nh3,1.967e-05,1203.0,1.6350789692435578e-08
MOBILE,OTHER MOBILE SOURCES,RECREATIONAL BOATS,2000,nh3,8.967e-05,1203.0,7.453865336658354e-08
MOBILE,OTHER MOBILE SOURCES,OFF-ROAD RECREATIONAL VEHICLES,2000,nh3,5.19e-05,1203.0,4.314214463840399e-08
MOBILE,OTHER MOBILE SOURCES,OFF-ROAD EQUIPMENT,2000,nh3,9.97e-06,1203.0,8.28761429758936e-09
MOBILE,OTHER MOBILE SOURCES,OFF-ROAD EQUIPMENT (PERP),2000,nh3,1.363e-05,1203.0,1.1330008312551953e-08
MOBILE,OTHER MOBILE SOURCES,FARM EQUIPMENT,2000,nh3,1.49e-06,1203.0,1.2385702410640066e-09
MOBILE,OTHER MOBILE SOURCES,FUEL STORAGE AND HANDLING,2000,nh3,0.0,1203.0,0.0
NATURAL (NON-ANTHROPOGENIC),NATURAL SOURCES,BIOGENIC SOURCES,2000,nh3,0.0956,1203.0,7.946799667497922e-05
NATURAL (NON-ANTHROPOGENIC),NATURAL SOURCES,GEOGENIC SOURCES,2000,nh3,0.4033151,1203.0,0.00033525777223607646
NATURAL (NON-ANTHROPOGENIC),NATURAL SOURCES,WILDFIRES,2000,nh3,0.06244115,1203.0,5.190453034081463e-05
STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,2000,nox,0.0,1203.0,0.0
STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,2000,nox,0.00869796,1203.0,7.230224438902743e-06
STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),2000,nox,0.001,1203.0,8.312551953449709e-07
STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,2000,nox,0.0,1203.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,2000,nox,0.0,1203.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,2000,nox,0.0,1203.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,2000,nox,0.0,1203.0,0.0
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,2000,nox,0.0,1203.0,0.0
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),2000,nox,0.0,1203.0,0.0
AREAWIDE,SOLVENT EVAPORATION,CONSUMER PRODUCTS,2000,nox,0.0,1203.0,0.0
AREAWIDE,SOLVENT EVAPORATION,ARCHITECTURAL COATINGS AND RELATED PROCESS SOLVENTS,2000,nox,0.0,1203.0,0.0
AREAWIDE,SOLVENT EVAPORATION,PESTICIDES/FERTILIZERS,2000,nox,0.0,1203.0,0.0
AREAWIDE,SOLVENT EVAPORATION,ASPHALT PAVING / ROOFING,2000,nox,0.0,1203.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,RESIDENTIAL FUEL COMBUSTION,2000,nox,0.00838788,1203.0,6.9724688279301746e-06
AREAWIDE,MISCELLANEOUS PROCESSES,FARMING OPERATIONS,2000,nox,0.0,1203.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,CONSTRUCTION AND DEMOLITION,2000,nox,0.0,1203.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,PAVED ROAD DUST,2000,nox,0.0,1203.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,UNPAVED ROAD DUST,2000,nox,0.0,1203.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,FUGITIVE WINDBLOWN DUST,2000,nox,0.0,1203.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,FIRES,2000,nox,0.0,1203.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,OTHER (MISCELLANEOUS PROCESSES),2000,nox,0.0,1203.0,0.0
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT DUTY PASSENGER (LDA),2000,nox,0.11584525,1203.0,9.629696591853698e-05
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT DUTY TRUCKS - 1 (LDT1),2000,nox,0.04806165,1203.0,3.9951496259351616e-05
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT DUTY TRUCKS - 2 (LDT2),2000,nox,0.05947568,1203.0,4.943946799667498e-05
MOBILE,ON-ROAD MOTOR VEHICLES,MEDIUM DUTY TRUCKS (MDV),2000,nox,0.03319847,1203.0,2.7596400665004156e-05
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY GAS TRUCKS - 1 (LHDGT1),2000,nox,0.01130322,1203.0,9.395860349127182e-06
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY GAS TRUCKS - 2 (LHDGT2),2000,nox,0.00174532,1203.0,1.4508063175394847e-06
MOBILE,ON-ROAD MOTOR VEHICLES,MEDIUM HEAVY DUTY GAS TRUCKS (MHDGT),2000,nox,0.00401592,1203.0,3.3382543640897757e-06
MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY HEAVY DUTY GAS TRUCKS (HHDGT),2000,nox,0.00285577,1203.0,2.3738736492103076e-06
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY DIESEL TRUCKS - 1 (LHDDT1),2000,nox,0.01970354,1203.0,1.6378669991687447e-05
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY DIESEL TRUCKS - 2 (LHDDT2),2000,nox,0.00308637,1203.0,2.565561097256858e-06
MOBILE,ON-ROAD MOTOR VEHICLES,MEDIUM HEAVY DUTY DIESEL TRUCKS (MHDDT),2000,nox,0.01254552,1203.0,1.0428528678304238e-05
MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY HEAVY DUTY DIESEL TRUCKS (HHDDT),2000,nox,0.257441,1203.0,0.00021399916874480462
MOBILE,ON-ROAD MOTOR VEHICLES,MOTORCYCLES (MCY),2000,nox,0.00102079,1203.0,8.485369908561928e-07
MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY DUTY DIESEL URBAN BUSES (UBD),2000,nox,0.00037428,1203.0,3.111221945137157e-07
MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY DUTY GAS URBAN BUSES (UBG),2000,nox,0.0001564,1203.0,1.3000831255195346e-07
MOBILE,ON-ROAD MOTOR VEHICLES,SCHOOL BUSES - GAS (SBG),2000,nox,0.0001646,1203.0,1.368246051537822e-07
MOBILE,ON-ROAD MOTOR VEHICLES,SCHOOL BUSES - DIESEL (SBD),2000,nox,0.00200849,1203.0,1.6695677472984206e-06
MOBILE,ON-ROAD MOTOR VEHICLES,OTHER BUSES - GAS (OBG),2000,nox,0.00108985,1203.0,9.059434746467166e-07
MOBILE,ON-ROAD MOTOR VEHICLES,OTHER BUSES - MOTOR COACH - DIESEL (OBC),2000,nox,0.0009975,1203.0,8.291770573566084e-07
