src_type,category,subcategory,year,em_type,tons_per_day,population,TpDpCap
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY GAS TRUCKS - 2 (LHDGT2),2000,co,0.12554467,60395.0,2.078726219057869e-06
MOBILE,ON-ROAD MOTOR VEHICLES,MEDIUM HEAVY DUTY GAS TRUCKS (MHDGT),2000,co,0.49189627,60395.0,8.14465220630847e-06
MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY HEAVY DUTY GAS TRUCKS (HHDGT),2000,co,0.39373282,60395.0,6.519294974749565e-06
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY DIESEL TRUCKS - 1 (LHDDT1),2000,co,0.03571926,60395.0,5.914274360460304e-07
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY DIESEL TRUCKS - 2 (LHDDT2),2000,co,0.00482988,60395.0,7.997152082126004e-08
MOBILE,ON-ROAD MOTOR VEHICLES,MEDIUM HEAVY DUTY DIESEL TRUCKS (MHDDT),2000,co,0.08174266,60395.0,1.3534673400115903e-06
MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY HEAVY DUTY DIESEL TRUCKS (HHDDT),2000,co,0.12409526,60395.0,2.054727378094213e-06
MOBILE,ON-ROAD MOTOR VEHICLES,MOTORCYCLES (MCY),2000,co,0.22836749,60395.0,3.7812317244805034e-06
MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY DUTY DIESEL URBAN BUSES (UBD),2000,co,0.0009515,60395.0,1.57546154482987e-08
MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY DUTY GAS URBAN BUSES (UBG),2000,co,0.00297765,60395.0,4.930292242735326e-08
MOBILE,ON-ROAD MOTOR VEHICLES,SCHOOL BUSES - GAS (SBG),2000,co,0.01940836,60395.0,3.213570659822833e-07
MOBILE,ON-ROAD MOTOR VEHICLES,SCHOOL BUSES - DIESEL (SBD),2000,co,0.00489326,60395.0,8.102094544250352e-08
MOBILE,ON-ROAD MOTOR VEHICLES,OTHER BUSES - GAS (OBG),2000,co,0.01998459,60395.0,3.3089808759003227e-07
MOBILE,ON-ROAD MOTOR VEHICLES,OTHER BUSES - MOTOR COACH - DIESEL (OBC),2000,co,0.00265145,60395.0,4.3901813063995366e-08
MOBILE,ON-ROAD MOTOR VEHICLES,ALL OTHER BUSES - DIESEL (OBD),2000,co,0.00610096,60395.0,1.010176339100919e-07
MOBILE,ON-ROAD MOTOR VEHICLES,MOTOR HOMES (MH),2000,co,0.34360229,60395.0,5.689250600215249e-06
MOBILE,OTHER MOBILE SOURCES,AIRCRAFT,2000,co,2.58912399,60395.0,4.2869840052984517e-05
MOBILE,OTHER MOBILE SOURCES,TRAINS,2000,co,0.06813252,60395.0,1.1281152413279245e-06
MOBILE,OTHER MOBILE SOURCES,RECREATIONAL BOATS,2000,co,0.95201624,60395.0,1.576316317575958e-05
MOBILE,OTHER MOBILE SOURCES,OFF-ROAD RECREATIONAL VEHICLES,2000,co,2.71251947,60395.0,4.491298071032371e-05
MOBILE,OTHER MOBILE SOURCES,OFF-ROAD EQUIPMENT,2000,co,3.71305952,60395.0,6.147958473383558e-05
MOBILE,OTHER MOBILE SOURCES,OFF-ROAD EQUIPMENT (PERP),2000,co,0.0027007,60395.0,4.4717277920357646e-08
MOBILE,OTHER MOBILE SOURCES,FARM EQUIPMENT,2000,co,1.37611437,60395.0,2.278523669177912e-05
MOBILE,OTHER MOBILE SOURCES,FUEL STORAGE AND HANDLING,2000,co,0.0,60395.0,0.0
NATURAL (NON-ANTHROPOGENIC),NATURAL SOURCES,BIOGENIC SOURCES,2000,co,0.0,60395.0,0.0
NATURAL (NON-ANTHROPOGENIC),NATURAL SOURCES,GEOGENIC SOURCES,2000,co,0.0,60395.0,0.0
NATURAL (NON-ANTHROPOGENIC),NATURAL SOURCES,WILDFIRES,2000,co,0.0,60395.0,0.0
STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,2000,nh3,0.0,60395.0,0.0
STATIONARY,FUEL COMBUSTION,COGENERATION,2000,nh3,0.0,60395.0,0.0
