DATE,CASANT5POP
2000-01-01,1685.849
2001-01-01,1690.359
2002-01-01,1673.321
2003-01-01,1669.027
2004-01-01,1669.675
2005-01-01,1683.013
2006-01-01,1700.372
2007-01-01,1724.156
2008-01-01,1755.961
2009-01-01,1782.913
2010-01-01,1786.001
2011-01-01,1811.891
2012-01-01,1837.605
2013-01-01,1866.05
2014-01-01,1891.286
2015-01-01,1915.736
2016-01-01,1928.144
2017-01-01,1932.251
2018-01-01,1931.985
2019-01-01,1922.411
2020-01-01,1930.598
2021-01-01,1885.508
