DATE,CARIVE5POP
2000-01-01,1558.970
2001-01-01,1614.452
2002-01-01,1682.672
2003-01-01,1764.303
2004-01-01,1845.608
2005-01-01,1917.246
2006-01-01,1994.262
2007-01-01,2054.818
2008-01-01,2087.348
2009-01-01,2121.839
2010-01-01,2201.562
2011-01-01,2233.84
2012-01-01,2260.763
2013-01-01,2286.087
2014-01-01,2315.238
2015-01-01,2344.648
2016-01-01,2378.282
2017-01-01,2413.058
2018-01-01,2443.221
2019-01-01,2465.569
2020-01-01,2422.764
2021-01-01,2458.395
