DATE,CAMARI5POP
2000-01-01,247.600
2001-01-01,247.905
2002-01-01,246.220
2003-01-01,244.975
2004-01-01,243.541
2005-01-01,243.860
2006-01-01,244.114
2007-01-01,245.841
2008-01-01,248.028
2009-01-01,250.521
2010-01-01,252.906
2011-01-01,255.38
2012-01-01,256.087
2013-01-01,258.441
2014-01-01,260.403
2015-01-01,260.974
2016-01-01,260.722
2017-01-01,259.975
2018-01-01,260.091
2019-01-01,259.085
2020-01-01,261.776
2021-01-01,260.206
