DATE,CAPOP
2000-01-01,33987.977
2001-01-01,34479.458
2002-01-01,34871.843
2003-01-01,35253.159
2004-01-01,35574.576
2005-01-01,35827.943
2006-01-01,36021.202
2007-01-01,36250.311
2008-01-01,36604.337
2009-01-01,36961.229
2010-01-01,37319.55
2011-01-01,37636.311
2012-01-01,37944.551
2013-01-01,38253.768
2014-01-01,38586.706
2015-01-01,38904.296
2016-01-01,39149.186
2017-01-01,39337.785
2018-01-01,39437.463
2019-01-01,39437.61
2020-01-01,39499.738
2021-01-01,39237.836
