DATE,CAHUMB0POP
2000-01-01,126.386
2001-01-01,126.984
2002-01-01,127.774
2003-01-01,128.255
2004-01-01,128.689
2005-01-01,128.944
2006-01-01,129.008
2007-01-01,128.513
2008-01-01,128.724
2009-01-01,129.349
2010-01-01,135.01
2011-01-01,135.257
2012-01-01,134.597
2013-01-01,134.447
2014-01-01,134.556
2015-01-01,135.177
2016-01-01,136.477
2017-01-01,136.71
2018-01-01,136.502
2019-01-01,135.839
2020-01-01,136.351
2021-01-01,136.31
