DATE,CASACR5POP
2000-01-01,1230.155
2001-01-01,1265.496
2002-01-01,1299.330
2003-01-01,1325.640
2004-01-01,1344.543
2005-01-01,1354.776
2006-01-01,1362.171
2007-01-01,1373.330
2008-01-01,1386.082
2009-01-01,1399.663
2010-01-01,1421.381
2011-01-01,1433.712
2012-01-01,1444.819
2013-01-01,1457.283
2014-01-01,1474.828
2015-01-01,1493.547
2016-01-01,1511.401
2017-01-01,1527.984
2018-01-01,1539.55
2019-01-01,1551.66
2020-01-01,1586.241
2021-01-01,1588.921
