DATE,CALOSA7POP
2000-01-01,9542.100
2001-01-01,9633.710
2002-01-01,9717.836
2003-01-01,9781.839
2004-01-01,9808.353
2005-01-01,9802.296
2006-01-01,9755.937
2007-01-01,9727.968
2008-01-01,9771.522
2009-01-01,9831.945
2010-01-01,9821.647
2011-01-01,9873.7
2012-01-01,9931.394
2013-01-01,9987.189
2014-01-01,10033.449
2015-01-01,10077.263
2016-01-01,10094.865
2017-01-01,10092.365
2018-01-01,10061.533
2019-01-01,10011.602
2020-01-01,9989.165
2021-01-01,9829.544
