DATE,CASAND5POP
2000-01-01,2826.314
2001-01-01,2867.449
2002-01-01,2896.140
2003-01-01,2907.988
2004-01-01,2922.175
2005-01-01,2927.956
2006-01-01,2933.959
2007-01-01,2960.625
2008-01-01,3003.793
2009-01-01,3037.115
2010-01-01,3103.26
2011-01-01,3137.236
2012-01-01,3175.148
2013-01-01,3210.788
2014-01-01,3249.307
2015-01-01,3280.825
2016-01-01,3305.462
2017-01-01,3319.019
2018-01-01,3332.483
2019-01-01,3330.459
2020-01-01,3297.252
2021-01-01,3286.069
