,Year,Company Name,CEC Plant ID,Plant Name,State,Capacity (MW),Net MWh,type
957,2020.0,Not Available,S9288,Descanso Solar - CRE,CA,1.5,1971.0,pv
958,2020.0,Not Available,S9286,Desert Green Solar Farm LLC,CA,6.5,13717.0,pv
959,2020.0,EDF Renewable Energy Inc,S0711,Desert Harvest II LLC,CA,70.0,4667.0,pv
960,2020.0,EDF Renewable Energy Inc,S0710,Desert Harvest LLC,CA,80.0,5790.0,pv
961,2020.0,Not Available,S0640,Desert Hot Springs 2,CA,1.5,3185.0,pv
962,2020.0,"Desert Stateline Solar, LLC",S0457,Desert Stateline Solar Facility,CA,299.0,651930.0,pv
963,2020.0,Desert Sunlight 250 LLC,S0256,Desert Sunlight 250,CA,250.0,610662.0,pv
964,2020.0,Desert Sunlight 300 LLC,S0257,Desert Sunlight 300,CA,300.0,658462.0,pv
965,2020.0,Not Available,S9222,Dreamer Solar LLC,CA,1.5,2628.0,pv
966,2020.0,Not Available,S9283,Drew Energy LLC,CA,1.0,1752.0,pv
967,2020.0,Not Available,S9223,DT Solar 1 LLC,CA,1.5,2628.0,pv
968,2020.0,Not Available,S9224,DT Solar 2 LLC,CA,1.5,2628.0,pv
969,2020.0,Not Available,S9225,DT Solar 3 LLC,CA,1.0,1752.0,pv
970,2020.0,CED California Holdings LLC,S0579,Ducor Solar 1,CA,20.0,46642.0,pv
971,2020.0,CED California Holdings LLC,S0580,Ducor Solar 2,CA,20.0,47047.0,pv
972,2020.0,CED California Holdings LLC,S0581,Ducor Solar 3,CA,15.0,35240.0,pv
973,2020.0,CED California Holdings LLC,S0582,Ducor Solar 4,CA,20.0,45575.0,pv
974,2020.0,Golden Solar LLC (Dulles),S0572,Dulles,CA,2.0,3185.0,pv
975,2020.0,Not Available,S9035,E & J Gallo Winery,CA,1.0,1622.0,pv
976,2020.0,Not Available,S9056,E&J Gallo Winery,CA,1.0,1622.0,pv
977,2020.0,Not Available,S9264,East Side Calpella 2MW PV Project (1) (2012 PV RFO - 1),CA,2.0,3504.0,pv
978,2020.0,Not Available,S9290,Ecos Energy LLC_(Bear Creek Solar Project),CA,1.5,1971.0,pv
979,2020.0,Not Available,S9292,Ecos Energy LLC_(Vintner Solar Project),CA,1.5,4057.0,pv
980,2020.0,Sol Orchard Imperial 1 LLC,S0461,ECPV Solar,CA,20.0,51923.0,pv
981,2020.0,Clenera - Renewable Energy,S0424,EE Kettleman Solar 1,CA,20.0,48505.0,pv
982,2020.0,Not Available,S0369,ELACC - Parking Lot,CA,1.0,0.0,pv
983,2020.0,S-Power (Sustainable Power Group),S0556,Elevation Solar C,CA,40.0,110491.0,pv
984,2020.0,"RC Energy Hollister, LLC",S0387,Enerparc CA1 LLC,CA,2.2,3146.0,pv
985,2020.0,"Adapture Renewables, Inc.",S0583,Enerparc CA2,CA,1.5,3499.0,pv
986,2020.0,Not Available,S9131,Equity Office Property,CA,1.5,2432.0,pv
987,2020.0,Not Available,S9226,Erika Solar LLC,CA,1.5,2628.0,pv
988,2020.0,Tulare PV I LLC,S0608,Exeter Solar,CA,3.5,6668.0,pv
989,2020.0,S-Power (Sustainable Power Group),S0299,Expressway Solar A,CA,2.0,4737.0,pv
990,2020.0,S-Power (Sustainable Power Group),S0413,Expressway Solar B,CA,2.0,4098.0,pv
991,2020.0,S-Power (Sustainable Power Group),S9276,Expressway Solar C2,CA,1.5,3625.0,pv
992,2020.0,Not Available,S9097,FAA Norcal TRACON,CA,1.0,1652.0,pv
993,2020.0,Longroad Energy,S0362,Fairfield-Suisun Sewer District - WTP,CA,1.0,0.0,pv
994,2020.0,PSEG Solar Source LLC,S0300,Fall River Mills Project A & B,CA,3.0,6815.0,pv
995,2020.0,Not Available,S9004,Farm ACW,CA,1.0,1621.0,pv
996,2020.0,CD Arevon USA Inc.,S0516,Farmersville (Formerly Sequoia PV1),CA,4.5,7701.0,pv
997,2020.0,Pacific Gas & Electric (PG&E),S0140,Five Points Solar Station,CA,15.0,24139.0,pv
998,2020.0,Not Available,S9008,Foods Inc. United Natural,CA,1.0,1622.0,pv
999,2020.0,Not Available,S9135,Foothill - De Anza Community College District,CA,1.6,2604.0,pv
1000,2020.0,Not Available,S9136,Foothill College - Pv Capstone,CA,1.7,2781.0,pv
1001,2020.0,Not Available,S9289,Foothill Farmington 2MW PV Project (2) (2012 PV RFO - 1),CA,2.0,3504.0,pv
1002,2020.0,Not Available,S9161,Fort Hunter Liggett Dept of Army,CA,2.0,3504.0,pv
1003,2020.0,Not Available,S9013,Fosters Wine Estates Inc.,CA,1.0,1622.0,pv
1004,2020.0,Not Available,S9085,Fowler Packing Company Inc.,CA,1.0,1622.0,pv
1005,2020.0,Not Available,S9086,Fowler Packing Company Inc.,CA,1.0,1622.0,pv
1006,2020.0,Not Available,S9001,FPUD - Sanitary,CA,1.0,1619.0,pv
1007,2020.0,Golden Solar LLC (Dulles),S0578,Freeway Springs,CA,2.0,3135.0,pv
1008,2020.0,Not Available,S9064,Fremont Group 50 Beale/DG Cogen Partners LLC,CA,1.0,1622.0,pv
1009,2020.0,Not Available,S9113,Fremont Group Inc. 50 Beale/DG Cogen Partners LLC,CA,1.2,1897.0,pv
1010,2020.0,Not Available,S9182,Fresh Air Energy LLC_(Pioneer 1),CA,1.5,1971.0,pv
1011,2020.0,QE - Foresight Group US,S9175,Fresh Air Energy IV - Sonora 1,CA,1.5,3606.0,pv
1012,2020.0,Fresno Cogeneration,S0425,Fresno Solar South,CA,1.5,3202.0,pv
1013,2020.0,Fresno Cogeneration,S0426,Fresno Solar West,CA,1.5,3188.0,pv
1014,2020.0,Clenera - Renewable Energy,S0459,Frontier Solar LLC (Crow Creek),CA,20.0,49932.0,pv
1015,2020.0,Not Available,S9201,Garces (Oswell A),CA,1.5,2628.0,pv
