,Year,Company Name,CEC Plant ID,Plant Name,State,Capacity (MW),Net MWh
67,2015.0,LS Power,S0292,Arlington Valley Solar Energy II,AZ,129.0,356963.0
68,2015.0,Copper Mountain Solar,S0243,Copper Mountain I (NV),NV,58.0,121811.0
69,2015.0,Copper Mountain Solar,S0244,Copper Mountain II (NV),NV,155.0,354249.0
70,2015.0,Copper Mountain Solar,S0295,Copper Mountain III (NV),NV,255.0,602431.0
71,2015.0,Mesquite Solar 1 LLC,S0254,Mesquite Solar 1 (AZ),AZ,150.0,397598.0
72,2015.0,"Silver State Solar Power South, LLC",S0436,Silver State Power South (NV),NV,91.4,9597.0
73,,,,,,Total,1128.4
74,2014.0,Agua Caliente Solar LLC,S0242,Agua Caliente Solar (AZ),AZ,290.0,741394.0
75,2014.0,LS Power,S0292,Arlington Valley Solar Energy II,AZ,129.0,363124.0
76,2014.0,Copper Mountain Solar,S0243,Copper Mountain I (NV),NV,58.0,123199.0
77,2014.0,Copper Mountain Solar,S0244,Copper Mountain II (NV),NV,94.5,223166.0
78,2014.0,Copper Mountain Solar,S0295,Copper Mountain III (NV),NV,255.0,149637.0
79,2014.0,Mesquite Solar 1 LLC,S0254,Mesquite Solar 1 (AZ),AZ,150.0,408218.0
80,,,,,,Total,976.5
81,2013.0,Agua Caliente Solar LLC,S0242,Agua Caliente Solar (AZ),AZ,243.0,687092.0
82,2013.0,Copper Mountain Solar,S0243,Copper Mountain I (NV),NV,58.0,125620.0
83,2013.0,Copper Mountain Solar,S0244,Copper Mountain II (NV),NV,94.5,226935.0
84,,,,,,Total,395.5
85,2012.0,Agua Caliente Solar LLC,S0242,Agua Caliente Solar (AZ),AZ,243.0,378105.0
86,2012.0,Copper Mountain Solar,S0243,Copper Mountain I (NV),NV,58.0,65958.0
87,2012.0,Copper Mountain Solar,S0244,Copper Mountain II (NV),NV,94.5,73593.0
88,,,,,,Total,395.5
89,,,,,,Total,0.0
90,,,,,,Total,0.0
91,,,,,,Total,0.0
92,,,,,,Total,0.0
93,,,,,,Total,0.0
94,,,,,,Total,0.0
95,,,,,,Total,0.0
96,,,,,,Total,0.0
97,,,,,,Total,0.0
98,,,,,,Total,0.0
99,,,,,,Total,0.0
